,Encoding
592,OPERATING SYSTEMS  GCS Computer Science and Software Engineering (CSSE) COMP 5461 50000 Master / PhD / Certificate Laboratory: 24 hours total
593,PROGRAM G + PROBLEM SOLVING  GCS Computer Science and Software Engineering (CSSE) COMP 5481 50000 Certificate Laboratory: 36 hours total
594,PROGRAM G + PROBLEM SOLVING  GCS Computer Science and Software Engineering (CSSE) COMP 5481 50000 Certificate Laboratory: 36 hours total
595,PROGRAM G + PROBLEM SOLVING  GCS Computer Science and Software Engineering (CSSE) COMP 5481 50000 Certificate Laboratory: 36 hours total
596,PRINCIPLES/DATA STRUCTURES  GCS Computer Science and Software Engineering (CSSE) COMP 5511 50000 Certificate Laboratory: 24 hours total
597,PRINCIPLES/DATA STRUCTURES  GCS Computer Science and Software Engineering (CSSE) COMP 5511 50000 Certificate Laboratory: 24 hours total
598,PRINCIPLES/DATA STRUCTURES  GCS Computer Science and Software Engineering (CSSE) COMP 5511 50000 Certificate Laboratory: 24 hours total
599,"TOOLS+TECHNIQUES / SW ENGR.  GCS Computer Science and Software Engineering (CSSE) COMP 5541 50000 Certificate Laboratory: 24 hours total, project"
600,"TOOLS+TECHNIQUES / SW ENGR.  GCS Computer Science and Software Engineering (CSSE) COMP 5541 50000 Certificate Laboratory: 24 hours total, project"
601,"MACHINE LEARNING  GCS Computer Science and Software Engineering (CSSE) COMP 6321 60000 Master / PhD Laboratory: 24 hours total, project"
602,"MACHINE LEARNING  GCS Computer Science and Software Engineering (CSSE) COMP 6321 60000 Master / PhD Laboratory: 24 hours total, project"
603,COMPUTER NETWORKS + PROTOCOL  GCS Computer Science and Software Engineering (CSSE) COMP 6461 60000 Master / PhD Laboratory: 24 hours total
604,COMPUTER NETWORKS + PROTOCOL  GCS Computer Science and Software Engineering (CSSE) COMP 6461 60000 Master / PhD Laboratory: 24 hours total
605,"ADV.DATABASE TECH. AND APPL.  GCS Computer Science and Software Engineering (CSSE) COMP 6521 60000 Master / PhD Laboratory: 24 hours total, project"
606,"ADV.DATABASE TECH. AND APPL.  GCS Computer Science and Software Engineering (CSSE) COMP 6521 60000 Master / PhD Laboratory: 24 hours total, project"
607,"ADVANCED COMPUTER GRAPHICS  GCS Computer Science and Software Engineering (CSSE) COMP 6761 60000 Master / PhD Laboratory: 24 hours total, project"
608,"ADVANCED COMPUTER GRAPHICS  GCS Computer Science and Software Engineering (CSSE) COMP 6761 60000 Master / PhD Laboratory: 24 hours total, project"
609,"Image Processing  GCS Computer Science and Software Engineering (CSSE) COMP 6771 60000 Master / PhD Laboratory: 24 hours total, project"
610,"Image Processing  GCS Computer Science and Software Engineering (CSSE) COMP 6771 60000 Master / PhD Laboratory: 24 hours total, project"
611,"INFO. RETRIEVAL & WEB SEARCH  GCS Computer Science and Software Engineering (CSSE) COMP 6791 60000 Master / PhD Laboratory: 24 hours total, project"
612,"INFO. RETRIEVAL & WEB SEARCH  GCS Computer Science and Software Engineering (CSSE) COMP 6791 60000 Master / PhD Laboratory: 24 hours total, project"
613,Computer Science Industrial Experience Reflective Learning I  GCS Computer Science and Software Engineering (CSSE) COMP 108 100 Bachelor Associated reflective learning course industrial experience work term I
614,Computer Science Industrial Experience Reflective Learning II  GCS Computer Science and Software Engineering (CSSE) COMP 208 200 Bachelor Associated reflective learning course industrial experience work term II
615,"ANIMATION FOR COMPUTER GAMES  GCS Computer Science and Software Engineering (CSSE) COMP 6311 60000 Master / PhD Laboratory: 24 hours total, project"
616,"ANIMATION FOR COMPUTER GAMES  GCS Computer Science and Software Engineering (CSSE) COMP 6311 60000 Master / PhD Laboratory: 24 hours total, project"
617,"COMPILER DESIGN  GCS Computer Science and Software Engineering (CSSE) COMP 6421 60000 Master / PhD Laboratory: 24 hours total, project"
618,"COMPILER DESIGN  GCS Computer Science and Software Engineering (CSSE) COMP 6421 60000 Master / PhD Laboratory: 24 hours total, project"
619,"APPLIED ARTIFICIAL INTELLIGENCE  GCS Computer Science and Software Engineering (CSSE) COMP 6721 60000 Master / PhD Laboratory: 24 hours total, project"
620,"APPLIED ARTIFICIAL INTELLIGENCE  GCS Computer Science and Software Engineering (CSSE) COMP 6721 60000 Master / PhD Laboratory: 24 hours total, project"
621,"PATTERN RECOGNITION  GCS Computer Science and Software Engineering (CSSE) COMP 6731 60000 Master / PhD Laboratory: 24 hours total, project"
622,"PATTERN RECOGNITION  GCS Computer Science and Software Engineering (CSSE) COMP 6731 60000 Master / PhD Laboratory: 24 hours total, project"
623,"INTELLIGENT SYSTEMS  GCS Computer Science and Software Engineering (CSSE) COMP 6741 60000 Master / PhD Laboratory: 24 hours total, project"
624,"INTELLIGENT SYSTEMS  GCS Computer Science and Software Engineering (CSSE) COMP 6741 60000 Master / PhD Laboratory: 24 hours total, project"
625,"ADVANCED GAME DEVELOPMENT  GCS Computer Science and Software Engineering (CSSE) COMP 6331 60000 Master / PhD Laboratory: 24 hours total, project"
626,"ADVANCED GAME DEVELOPMENT  GCS Computer Science and Software Engineering (CSSE) COMP 6331 60000 Master / PhD Laboratory: 24 hours total, project"
627,Communication Media: Intermedia I  FAS Communication Studies COMS 274 200 Bachelor Practicum course
628,Communication Media: Intermedia I  FAS Communication Studies COMS 274 200 Bachelor Practicum course
629,Communication Media: Sound I  FAS Communication Studies COMS 276 200 Bachelor Practicum course
630,Communication Media: Sound I  FAS Communication Studies COMS 276 200 Bachelor Practicum course
631,Communication Media:  Moving Images I  FAS Communication Studies COMS 284 200 Bachelor Practicum course
632,Communication Media:  Moving Images I  FAS Communication Studies COMS 284 200 Bachelor Practicum course
633,Scriptwriting for Media  FAS Communication Studies COMS 307 300 Bachelor Practicum course
634,"Communication Analysis of Environment  FAS Communication Studies COMS 324 300 Bachelor Workshops, Montreal locations site analysis"
635,Propaganda COMS361 = SCPA461 FAS Communication Studies COMS 361 300 Bachelor Projects
636,Propaganda  FAS Communication Studies COMS 361 300 Bachelor Projects
637,Communication Media: Intermedia II  FAS Communication Studies COMS 374 300 Bachelor Practicum course
638,Communication Media: Intermedia II  FAS Communication Studies COMS 374 300 Bachelor Practicum course
639,Communication Media: Sound II  FAS Communication Studies COMS 376 300 Bachelor Practicum course
640,Communication Media: Sound II  FAS Communication Studies COMS 376 300 Bachelor Practicum course
641,Advanced Scriptwriting for Media  FAS Communication Studies COMS 407 400 Bachelor Practicum course
642,Communication Media:  Intermedia III COMS475 = COMS490 FAS Communication Studies COMS 475 400 Bachelor Practicum course
643,Communication Media:  Intermedia III  FAS Communication Studies COMS 475 400 Bachelor Practicum course
644,Communication Media:  Intermedia III COMS475 = COMS490 FAS Communication Studies COMS 475 400 Bachelor Practicum course
645,Communication Media:  Intermedia III  FAS Communication Studies COMS 475 400 Bachelor Practicum course
646,Communication Media: Advanced Topics  FAS Communication Studies COMS 493 400 Bachelor Practicum course
647,Communication Media: Advanced Topics  FAS Communication Studies COMS 493 400 Bachelor Practicum course
648,METHODS IN COMM ST/ PRACTICE  FAS Communication Studies COMS 506 500 Certificate Practicum course
649,CULTURES OF PRODUCTION  FAS Communication Studies COMS 513 500 Certificate Field research projects
650,MEDIA PRODUCTION: SOUND  FAS Communication Studies COMS 562 500 Certificate Lectures Laboratory: average 6 hours per week
651,MEDIA PRODUCTION: SOUND  FAS Communication Studies COMS 562 500 Certificate Lectures Laboratory: average 6 hours per week
652,MEDIA PROD.:MOVING IMAGES  FAS Communication Studies COMS 569 500 Certificate Lectures Laboratory: average 6 hours per week
653,MEDIA PROD.:MOVING IMAGES  FAS Communication Studies COMS 569 500 Certificate Lectures Laboratory: average 6 hours per week
654,MEDIA PRODUCT.: INTERMEDIA  FAS Communication Studies COMS 570 500 Certificate Lectures Laboratory: average 6 hours per week
655,MEDIA PRODUCT.: INTERMEDIA  FAS Communication Studies COMS 570 500 Certificate Lectures Laboratory: average 6 hours per week
656,MEDIA RESEARCH PRACTICUM  FAS Communication Studies COMS 606 600 Master Individual research practicum offered tutorial basis faculty supervision
657,MEDIA RESEARCH LABORATORY  FAS Communication Studies COMS 684 600 Master Research-creation Laboratory
658,MEDIA TECHNOLOGY AS PRACTICE  FAS Communication Studies COMS 876 800 PhD  Research-creation Laboratory
659,ADV. SCRIPTWRITING FOR MEDIA  FAS Communication Studies COMS 507 500 Certificate Practicum course
660,Communication Media:  Moving Images III COMS484 = COMS487 FAS Communication Studies COMS 484 400 Bachelor Practicum course
661,Communication Media:  Moving Images III  FAS Communication Studies COMS 484 400 Bachelor Practicum course
662,Communication Media:  Moving Images III COMS484 = COMS487 FAS Communication Studies COMS 484 400 Bachelor Practicum course
663,Communication Media:  Moving Images III  FAS Communication Studies COMS 484 400 Bachelor Practicum course
664,Communication Media:  Moving Images II COMS384 = COMS387 FAS Communication Studies COMS 384 300 Bachelor Practicum course
665,Communication Media:  Moving Images II  FAS Communication Studies COMS 384 300 Bachelor Practicum course
666,Communication Media:  Moving Images II COMS384 = COMS387 FAS Communication Studies COMS 384 300 Bachelor Practicum course
667,Communication Media:  Moving Images II  FAS Communication Studies COMS 384 300 Bachelor Practicum course
668,Communication Media:  Sound III COMS477 = COMS478 FAS Communication Studies COMS 477 400 Bachelor Practicum course
669,Communication Media:  Sound III  FAS Communication Studies COMS 477 400 Bachelor Practicum course
670,Communication Media:  Sound III COMS477 = COMS478 FAS Communication Studies COMS 477 400 Bachelor Practicum course
671,Communication Media:  Sound III  FAS Communication Studies COMS 477 400 Bachelor Practicum course
672,"Creative Process I DANC 200 = DANC 201 FFA Contemporary Dance DANC 201 200 Bachelor Students learn explore, observe, structure ideas movements improvisations specific exercises cover fundamentals kinetics, rhythm dynamics, spatial organization, perceptual skills, integration acoustic, visual verbal elements, use technology creative tool."
673,"Creative Process I DANC 200 = DANC 201 FFA Contemporary Dance DANC 201 200 Bachelor Students learn explore, observe, structure ideas movements improvisations specific exercises cover fundamentals kinetics, rhythm dynamics, spatial organization, perceptual skills, integration acoustic, visual verbal elements, use technology creative tool."
674,Technique I DANC 205 = DANC 210 FFA Contemporary Dance DANC 205 200 Bachelor Emphasis placed proper alignment placement body stillness motion. Integration execution movement fundamentals sequences taught preparation dance.
675,"Creative Process II DANC 300 = DANC 301 FFA Contemporary Dance DANC 301 300 Bachelor Students develop practical theoretical aspects creative process dance elaboration individualized kinetic language. Methods research application concepts, themes, collaborations, projects, use technology evolved studio laboratories."
676,"Creative Process II DANC 300 = DANC 301 FFA Contemporary Dance DANC 301 300 Bachelor Students develop practical theoretical aspects creative process dance elaboration individualized kinetic language. Methods research application concepts, themes, collaborations, projects, use technology evolved studio laboratories."
677,"Technique II DANC 305 = DANC 310 FFA Contemporary Dance DANC 305 300 Bachelor Emphasis placed technical development suppleness, strength, coordination, rhythm, kinetic fundamentals."
678,Choreography I  FFA Contemporary Dance DANC 320 300 Bachelor This course develops personal creativity broadens student’s physical expressive potential public performances.
679,Practical Anatomy for the Moving Body  FFA Contemporary Dance DANC 350 300 Bachelor Students experience human anatomy relation movement dance studio practices.
680,"Creative Process III DANC 400 = DANC 401 FFA Contemporary Dance DANC 401 400 Bachelor This course enables students advance creative process practice movement artists kinetic exploration, improvisation, performance coaching, extended studio projects, lab reports."
681,"Creative Process III DANC 400 = DANC 401 FFA Contemporary Dance DANC 401 400 Bachelor This course enables students advance creative process practice movement artists kinetic exploration, improvisation, performance coaching, extended studio projects, lab reports."
682,"Technique III DANC 405 = DANC 410 FFA Contemporary Dance DANC 405 400 Bachelor Emphasis placed refining consolidating student’s practical understanding kinetics relation placement, locomotion, movement patterns, dynamics, phrasing."
683,"Choreography II  FFA Contemporary Dance DANC 420 400 Bachelor Building initial research carried DANC 320, exploration conducted use technology within choreographic process well examination role plays aspects production."
684,SPECIAL TOPICS IN DANCE  FFA Contemporary Dance DANC 398 300 Bachelor Studio based exploration dance real-world.
685,Design for Live Performance II SCEN 210=DFTT 210 FFA Theatre DFTT 210 200 Bachelor Examination theatrical design process
686,Design for Live Performance II  FFA Theatre DFTT 210 200 Bachelor Examination theatrical design process
687,Independent Study I DFTT 305 = SCEN 305 FFA Theatre DFTT 305 300 Bachelor The independent study specialized aspects theatre design
688,Lighting Design DFTT 311=SCEN 314 FFA Theatre DFTT 311 300 Bachelor Students study lighting design theatre
689,Lighting Design  FFA Theatre DFTT 311 300 Bachelor Students study lighting design theatre
690,Lighting Design DFTT 311=SCEN 314 FFA Theatre DFTT 311 300 Bachelor Students study lighting design theatre
691,Lighting Design  FFA Theatre DFTT 311 300 Bachelor Students study lighting design theatre
692,Lighting Design DFTT 311=SCEN 314 FFA Theatre DFTT 311 300 Bachelor Students study lighting design theatre
693,Lighting Design  FFA Theatre DFTT 311 300 Bachelor Students study lighting design theatre
694,LIGHTING DESIGN REALIZATION DFTT 315 = SCEN 302 FFA Theatre DFTT 315 300 Bachelor Focus basic realization methods
